"","Algorithm","X","N","Y","sd","se","ci","upper","lower"
"1","FaceRecognition",0.001,10,0.9151,0.0280810335359018,0.00888000250250215,0.0200879612667012,0.935187961266701,0.895012038733299
"2","FaceRecognition",0.00101394,10,0.9139167,0.0284724772643103,0.00900378787825806,0.0203679832411171,0.934284683241117,0.893548716758883
"3","FaceRecognition",0.00102807,10,0.9127165,0.0288693414166886,0.00912928734257682,0.0206518827532531,0.933368382753253,0.892064617246747
"4","FaceRecognition",0.0010424,10,0.9115,0.0292718926807118,0.00925658522950613,0.0209398505799793,0.932439850579979,0.890560149420021
"5","FaceRecognition",0.00105693,10,0.9102662,0.0296797235079964,0.00938555266093111,0.0212315951787451,0.931497795178745,0.889034604821255
"6","FaceRecognition",0.00107167,10,0.9090156,0.0300934650056195,0.00951638921043294,0.0215275680163564,0.930543168016357,0.887488031983644
"7","FaceRecognition",0.00108661,10,0.9077472,0.0305132002684448,0.00964912115491469,0.021827828535298,0.929575028535298,0.885919371464702
"8","FaceRecognition",0.00110175,10,0.9064612,0.0309383270710547,0.00978355805397789,0.0221319459294581,0.928593145929458,0.884329254070542
"9","FaceRecognition",0.00111711,10,0.9051574,0.0313696890049402,0.0099199666746752,0.022440523667836,0.927597923667836,0.882716876332164
"10","FaceRecognition",0.00113268,10,0.9038351,0.0318069999893455,0.0100582565503283,0.0227533571005871,0.926588457100587,0.881081742899413
"11","FaceRecognition",0.00114847,10,0.9024947,0.0322503019694734,0.010198440945175,0.0230704762335021,0.925565176233502,0.879424223766498
"12","FaceRecognition",0.00116448,10,0.9011357,0.0326997947633722,0.0103405830472303,0.0233920240078017,0.924527724007802,0.877743675992198
"13","FaceRecognition",0.00118071,10,0.8997576,0.033155591139689,0.0104847185170715,0.0237180810933163,0.923475681093316,0.876039518906684
"14","FaceRecognition",0.00119717,10,0.8983602,0.0336176364950172,0.0106308300875854,0.024048608429122,0.922408808429122,0.874311591570878
"15","FaceRecognition",0.00121386,10,0.8969433,0.0340866003195456,0.0107791294701587,0.0243840849396488,0.921327384939649,0.872559215060351
"16","FaceRecognition",0.00123078,10,0.8955068,0.0345616639510696,0.0109293577810714,0.024723924989235,0.920230724989235,0.870782875010765
